Image: ezgif-frame-001.jpg; 1 [          0         135         168         459] 3; 2 [          0         353         115         890] 3; 3 [        171         443         516        1065] 3
Image: ezgif-frame-002.jpg; 1 [   -0.55633      142.12      171.61      474.25] 3; 2 [     1.9033       359.1      118.18      901.18] 3; 3 [     175.66      446.05      523.54      1073.1] 3
Image: ezgif-frame-003.jpg; 1 [     2.4821      139.32      174.69      470.69] 3; 2 [     2.6214      361.29      119.29       905.2] 3; 3 [     178.98      449.16      527.63      1077.4] 3
Image: ezgif-frame-004.jpg; 1 [     4.7166      139.94      178.68      473.05] 3; 2 [     3.3394      363.49       120.4      909.23] 3; 3 [     189.17      447.44      540.96      1079.5] 3
Image: ezgif-frame-005.jpg; 1 [     6.0563      142.83      183.47      479.83] 3; 2 [     4.0575      365.68      121.51      913.25] 3; 3 [      198.3      444.34      552.84      1077.7] 3
Image: ezgif-frame-006.jpg; 1 [     7.2231      147.79      189.31      489.82] 3; 2 [     4.7756      367.88      122.62      917.27] 3; 3 [     210.48      451.34      570.36      1089.4] 3
Image: ezgif-frame-007.jpg; 1 [      14.25      151.14      201.26      496.47] 3; 2 [     5.4937      370.07      123.73      921.29] 3; 3 [     224.65      444.91      592.33      1090.8] 3
Image: ezgif-frame-008.jpg; 1 [     31.868      155.14      226.04      503.52] 3; 2 [     19.163      378.49      148.93      935.87] 4; 3 [     234.81      444.54      604.69      1094.3] 3
Image: ezgif-frame-009.jpg; 1 [     44.447      156.48      246.05      506.96] 3; 2 [     20.194      383.26      161.23      943.55] 1; 3 [      259.1      461.58      645.44        1122] 0
Image: ezgif-frame-010.jpg; 1 [     63.783      161.09      274.93      513.54] 3; 2 [     20.907      384.67       173.8      953.43] 4; 3 [     275.15      463.51      675.49      1133.8] 0
Image: ezgif-frame-011.jpg; 1 [     81.947      166.15      306.04       524.2] 3; 2 [     24.467      391.06      189.82      966.31] 1; 3 [     295.53      474.53       711.7        1154] 0
Image: ezgif-frame-012.jpg; 1 [     95.826      169.38      321.89      530.58] 3; 2 [     41.099      400.88      220.79      986.81] 1; 3 [     312.87      483.16      746.85      1175.4] 0
Image: ezgif-frame-013.jpg; 1 [     130.83      182.25      380.14      556.48] 3; 2 [     59.777      407.49      253.41        1001] 1; 3 [      327.2      496.83      774.28      1198.7] 0
Image: ezgif-frame-014.jpg; 1 [     141.17      188.54      407.84      571.79] 3; 2 [     79.625      418.15      286.87      1017.9] 1; 3 [     333.52      503.91      792.77      1218.6] 0
Image: ezgif-frame-015.jpg; 1 [     148.83      198.23      436.24      595.15] 3; 2 [     93.525      424.82      315.42      1034.3] 1; 3 [      340.9      514.54      809.65      1240.5] 0
Image: ezgif-frame-016.jpg; 1 [     168.23      207.47      467.89      606.05] 3; 2 [     103.13      437.23      341.11      1061.3] 1; 3 [     353.11      534.71      829.92      1271.8] 0
Image: ezgif-frame-017.jpg; 1 [     186.56      214.05      490.79      618.71] 3; 2 [     125.64      447.71      379.91      1081.7] 1; 3 [     365.26       542.6      853.33      1299.8] 0
Image: ezgif-frame-018.jpg; 1 [     204.89      220.62      513.69      631.37] 3; 2 [     139.58      450.65      411.01      1099.2] 1; 3 [     379.65       555.9      868.55      1317.3] 0
Image: ezgif-frame-019.jpg; 1 [     223.21       227.2       536.6      644.03] 3; 2 [     150.35      457.93      433.68      1106.3] 1; 3 [     389.86      555.51      881.74        1326] 3
Image: ezgif-frame-020.jpg; 1 [     241.54      233.77       559.5      656.69] 3; 2 [     164.65      460.43      461.19        1112] 1; 3 [     401.13      564.06      893.95      1340.8] 0
Image: ezgif-frame-021.jpg; 1 [     259.87      240.35      582.41      669.35] 3; 2 [     174.44      464.09      484.45      1122.1] 1; 3 [     411.45       569.4      902.68      1347.5] 0
Image: ezgif-frame-022.jpg; 1 [      278.2      246.92      605.31      682.01] 3; 2 [     172.49      466.13      492.81      1126.5] 1; 3 [     419.19      567.95      906.17      1341.2] 3
