               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10967,             0.10636,            0.053698,            0.028159,             0.24684,             0.02309,           0.0057598,            0.088676,             0.26675,            0.047859,            0.070732,            0.003252,            0.003252
                   1,            0.079544,            0.091425,             0.04523,            0.078295,             0.37138,             0.11015,            0.043338,            0.077282,             0.10416,            0.042343,            0.040601,            0.006455,            0.006455
                   2,             0.07757,            0.094196,            0.042324,             0.11512,             0.39109,             0.12698,            0.040705,            0.072545,            0.080429,            0.039417,            0.010339,           0.0095259,           0.0095259
                   3,            0.068608,            0.089285,             0.04026,             0.17091,             0.44311,              0.1912,            0.072217,            0.061975,            0.078069,            0.035745,            0.009406,            0.009406,            0.009406
                   4,            0.061191,            0.083301,            0.036632,             0.20943,             0.45952,             0.26619,             0.11109,             0.05705,            0.074984,            0.032491,            0.009406,            0.009406,            0.009406
                   5,            0.055302,            0.085559,            0.034363,             0.21946,             0.55762,             0.31635,             0.15514,            0.048741,            0.075564,            0.030532,            0.009208,            0.009208,            0.009208
                   6,            0.050909,            0.089323,            0.031479,             0.24102,             0.56929,             0.37074,             0.22058,            0.045425,            0.073475,            0.028419,             0.00901,             0.00901,             0.00901
                   7,            0.047828,            0.081295,            0.029684,             0.29909,             0.56536,             0.43352,              0.2283,            0.043812,            0.069561,            0.025847,            0.008812,            0.008812,            0.008812
                   8,            0.048075,             0.07997,            0.027855,             0.32553,             0.54133,             0.44973,             0.25951,            0.042588,            0.068452,            0.024365,            0.008614,            0.008614,            0.008614
                   9,            0.045729,             0.07533,             0.02664,             0.38357,              0.5303,             0.46887,             0.28876,            0.040473,            0.067607,            0.022786,            0.008416,            0.008416,            0.008416
                  10,            0.042561,             0.07652,            0.024302,             0.36893,             0.59384,             0.47284,             0.30776,            0.035263,            0.067867,            0.021653,            0.008218,            0.008218,            0.008218
                  11,            0.041298,            0.076305,            0.023261,             0.38752,             0.61783,             0.49712,             0.30675,            0.037014,            0.066676,            0.020533,             0.00802,             0.00802,             0.00802
                  12,            0.040088,            0.073467,            0.022598,              0.4089,             0.61141,             0.51651,             0.34197,            0.035684,            0.066255,            0.020081,            0.007822,            0.007822,            0.007822
                  13,            0.041296,            0.075548,            0.021658,             0.47599,             0.66009,               0.554,             0.34019,            0.034601,            0.065797,            0.018731,            0.007624,            0.007624,            0.007624
                  14,            0.039384,            0.075885,            0.020626,             0.49787,             0.66214,              0.5888,             0.35341,              0.0334,            0.065229,            0.018613,            0.007426,            0.007426,            0.007426
                  15,            0.038986,            0.072888,            0.020048,             0.53416,             0.68662,             0.60255,             0.39759,            0.031791,            0.063746,            0.017852,            0.007228,            0.007228,            0.007228
                  16,             0.03811,            0.068908,            0.019415,             0.56303,             0.69388,             0.60942,             0.38644,            0.031687,            0.063852,            0.017196,             0.00703,             0.00703,             0.00703
                  17,            0.036616,             0.07045,            0.018589,             0.55004,             0.70115,              0.6167,             0.40555,            0.033958,            0.063897,            0.016835,            0.006832,            0.006832,            0.006832
                  18,            0.036485,            0.068072,            0.018174,             0.50665,             0.72467,             0.61498,             0.44033,            0.029413,            0.062581,            0.018007,            0.006634,            0.006634,            0.006634
                  19,             0.03577,            0.070748,            0.018175,             0.57838,             0.72486,             0.63346,             0.43869,            0.031245,            0.062248,            0.015878,            0.006436,            0.006436,            0.006436
                  20,            0.036218,            0.069388,            0.018402,             0.56276,             0.72891,             0.64093,             0.45939,            0.030704,             0.06171,            0.015363,            0.006238,            0.006238,            0.006238
                  21,            0.033903,            0.069999,            0.017398,             0.55081,             0.74578,             0.64899,             0.45531,            0.032296,             0.06308,            0.015376,             0.00604,             0.00604,             0.00604
                  22,            0.034327,            0.067737,            0.016459,             0.56519,             0.75248,              0.6468,             0.47284,            0.031894,            0.064742,            0.015314,            0.005842,            0.005842,            0.005842
                  23,            0.033813,            0.068132,            0.016123,             0.59724,             0.74579,              0.6689,             0.50228,             0.02857,            0.060341,             0.01434,            0.005644,            0.005644,            0.005644
                  24,            0.033819,            0.067811,            0.015943,             0.58584,             0.75474,             0.68699,             0.51981,            0.027361,            0.059353,            0.014639,            0.005446,            0.005446,            0.005446
                  25,            0.032768,            0.064916,            0.015609,             0.60225,             0.75564,             0.70937,             0.51858,            0.028925,            0.064821,            0.013787,            0.005248,            0.005248,            0.005248
                  26,            0.032617,            0.063791,            0.015302,             0.61997,             0.75699,             0.72032,             0.52097,             0.02977,            0.062013,            0.013047,             0.00505,             0.00505,             0.00505
                  27,            0.032834,            0.065082,             0.01467,             0.65463,             0.73447,             0.72404,             0.54509,            0.028614,            0.062112,            0.012782,            0.004852,            0.004852,            0.004852
                  28,             0.03117,            0.063852,            0.013957,             0.68709,             0.73539,             0.74164,             0.54823,            0.028042,            0.060963,            0.012495,            0.004654,            0.004654,            0.004654
                  29,            0.031721,            0.067751,            0.014142,             0.69224,             0.73187,             0.74528,             0.57207,            0.026623,            0.058746,            0.012281,            0.004456,            0.004456,            0.004456
                  30,             0.03086,            0.063529,            0.013113,             0.68416,              0.7152,             0.74609,             0.57528,            0.026735,            0.060669,            0.012017,            0.004258,            0.004258,            0.004258
                  31,            0.030313,            0.060838,            0.013356,             0.72538,             0.73534,             0.76786,             0.58767,            0.026848,            0.059061,            0.011916,             0.00406,             0.00406,             0.00406
                  32,            0.030335,            0.061532,            0.013079,             0.75452,             0.70676,             0.77777,             0.59627,            0.026077,            0.058833,            0.011315,            0.003862,            0.003862,            0.003862
                  33,            0.029303,            0.062443,            0.012518,             0.78536,             0.69896,             0.80132,             0.63369,            0.025569,            0.058055,            0.011155,            0.003664,            0.003664,            0.003664
